2019/12/01 13:10:08 [emerg] 1#1: host not found in upstream "php" in /etc/nginx/conf.d/default.conf:29
2019/12/01 13:10:10 [emerg] 1#1: host not found in upstream "php" in /etc/nginx/conf.d/default.conf:29
2019/12/01 13:10:11 [emerg] 1#1: host not found in upstream "php" in /etc/nginx/conf.d/default.conf:29
2019/12/01 13:10:12 [emerg] 1#1: host not found in upstream "php" in /etc/nginx/conf.d/default.conf:29
2019/12/01 13:10:14 [emerg] 1#1: host not found in upstream "php" in /etc/nginx/conf.d/default.conf:29
2019/12/01 13:10:16 [emerg] 1#1: host not found in upstream "php" in /etc/nginx/conf.d/default.conf:29
2019/12/01 13:10:21 [emerg] 1#1: host not found in upstream "php" in /etc/nginx/conf.d/default.conf:29
2019/12/01 13:11:07 [emerg] 1#1: host not found in upstream "php" in /etc/nginx/conf.d/default.conf:29
2019/12/01 13:11:10 [emerg] 1#1: host not found in upstream "php" in /etc/nginx/conf.d/default.conf:29
2019/12/01 13:11:12 [emerg] 1#1: host not found in upstream "php" in /etc/nginx/conf.d/default.conf:29
2019/12/01 13:11:14 [emerg] 1#1: host not found in upstream "php" in /etc/nginx/conf.d/default.conf:29
2019/12/01 13:11:15 [emerg] 1#1: host not found in upstream "php" in /etc/nginx/conf.d/default.conf:29
2019/12/01 13:11:17 [emerg] 1#1: host not found in upstream "php" in /etc/nginx/conf.d/default.conf:29
2019/12/01 13:11:21 [emerg] 1#1: host not found in upstream "php" in /etc/nginx/conf.d/default.conf:29
2019/12/01 13:11:30 [emerg] 1#1: host not found in upstream "php" in /etc/nginx/conf.d/default.conf:29
2019/12/01 13:11:44 [emerg] 1#1: host not found in upstream "php" in /etc/nginx/conf.d/default.conf:29
2019/12/01 13:11:52 [emerg] 1#1: host not found in upstream "php" in /etc/nginx/conf.d/default.conf:29
2019/12/01 13:12:33 [emerg] 1#1: host not found in upstream "php" in /etc/nginx/conf.d/default.conf:29
2019/12/01 13:14:00 [emerg] 1#1: host not found in upstream "php" in /etc/nginx/conf.d/default.conf:29
2019/12/13 15:57:20 [emerg] 1#1: host not found in upstream "php" in /etc/nginx/conf.d/default.conf:29
2019/12/13 16:29:08 [emerg] 1#1: unknown directive "//add" in /etc/nginx/nginx.conf:20
2019/12/13 16:29:38 [emerg] 1#1: unknown directive "//add" in /etc/nginx/nginx.conf:20
2019/12/13 16:31:18 [emerg] 1#1: unknown directive "//add" in /etc/nginx/nginx.conf:20
2019/12/13 16:31:34 [emerg] 1#1: unknown directive "//add" in /etc/nginx/nginx.conf:20
2019/12/13 16:37:54 [emerg] 1#1: unknown directive "//add" in /etc/nginx/nginx.conf:20
2019/12/13 16:42:29 [emerg] 1#1: unknown directive "//add" in /etc/nginx/nginx.conf:20
2019/12/16 17:00:22 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 17:00:33 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 17:03:03 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 17:04:24 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 17:08:10 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 17:09:41 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 17:10:09 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:12:19 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:15:15 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:15:16 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:15:17 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:15:19 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:15:20 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:15:28 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:15:32 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:15:39 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:15:52 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:16:18 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:17:10 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:18:11 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:19:12 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:20:13 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:21:14 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:22:14 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:23:15 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:24:08 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:24:09 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:24:11 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:24:12 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:24:16 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:24:19 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:24:23 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:24:30 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:24:43 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:25:10 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:26:02 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:26:48 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:26:50 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:26:51 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:26:52 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:26:54 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:26:56 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:27:00 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:27:07 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:27:21 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:27:47 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:28:39 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:29:40 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:30:40 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:31:14 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:31:47 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:33:09 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:33:49 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
2019/12/16 20:35:17 [emerg] 1#1: "client_max_body_size" directive is duplicate in /etc/nginx/conf.d/default.conf:10
